LASAcases,GPSA summary
0,This article is a summary of an alert from the Pennsylvania Patient Safety Authority addressing the role of storage of medications in medication patient safety incidents. Actions to reduce risk for pharmacies are provided.
1,This Risk Alert discusses two medication patient safety incidents involving two high alert drugs - warfarin and heparin - where the wrong dose was dispensed and/or administered.
0,This Risk Alert discusses five medication patient safety incidents with high alert medications. 
1,This Risk Alert discusses the potential medication patient safety incidents that may occur with look alike/sound alike drug names.
0,"ISMP Canada has received reports of incidents involving the medications glucagon, as well as incidents involving the vaccine for measles, mumps, and rubella (MMR), in which only the product-specific diluent was administered. This can result in delay of treatment and patient injury. The Bulletin highlights numerous examples of this type of medication incident as a method for increasing the awareness of this patient safety risk."
1,"This Safety Notice addresses serious and fatal medication patient safety incidents involving hydromorphone. The majority of incidents involved administration errors including: - Confusion between the names and preparations of hydromorphone and morphine (wrong drug, wrong dose). - Poor understanding that hydromorphone is five times more potent than morphine (wrong drug). - Existence of both oral and injectable hydromorphone solutions that may increase the risk of product selection error during the administration process (wrong dose, wrong formulation). - Complex calculations due to the need for fractional dosing when using high potency ampoules and the inclusion of decimal points in the medication order (wrong dose)."
0,"This Patient Safety Advisory presents an analysis of medication errors and adverse drug events (both considered patient safety incidents) that involve hydromorphone, a high alert drug, which can result in patient harm and death. These incidents can occur during the prescribing, dispensing or administering phases of medication use. A key contributing factor is the gap in understanding hydromorphone's efficacy and potency. The majority of the patient safety incidents are ""wrong drug"" errors resulting from mix-ups with morphine. Wrong dose and overdose errors, as well as monitoring error and documented allergy errors are described as well with many patient cases to illustrate the points. Risk reduction strategies are provided within the following categories: constraints, standardization, differentiation, redundancies, patient monitoring, education and information, and monitoring of adverse drug events."
0,"This Safety Notice describes a patient safety incident where a topical antiseptic was administered through an epidural route, resulting in neurological complications (wrong route). A position statement of safety medication practices when using drugs for epidural anesthesia or analgesia, developed by the Australian and New Zealand College of Anaesthetists is provided ."
0,"This article addresses how medication packaging and labelling can contribute to medication patient safety incidents. Several examples of packaging and labelling problems are given with diagrams to illustrate the narrative. Actions to reduce risk, based on the UK National Health Service (NHS) guide for labelling and packaging of injectable medications, are provided."
0,"The Bulletin describes a medication incident in which a patient died as a result of receiving insulin that had not be prescribed. The patient underwent surgery for a gastrointestinal problem and postoperative recovery was proceeding normally. Early on the morning of the third postoperative day, the patient was found unresponsive with a low glucometer reading and low oxygen saturation. Interventions were provided but the patient died the next morning. The autopsy pathology report listed the underlying cause of death as hypoglycemia related to exogenous insulin administration. The hospital undertook an investigation and determined the most likely explanation appeared to be substitution of insulin for a scheduled subcutaneous dose of heparin on the evening before the patient was found unresponsive. The root cause analysis findings, including contributing factors and recommended actions, are also provided."
0,"This Risk Alert describes a fatal patient safety incident where a lymphoma patient with a positive hepatitis B status received chemotherapy without prophylactic anti-viral therapy. A lymphoma patient was scheduled for chemotherapy. As part of the standard pre-chemotherapy workup, the patientÅfs hepatitis B (HBV) status"
0,"The Bulletin describes an incident in which a patient's height and weight were transposed in an electronic chemotherapy prescribing system. As a result, the patient received about 650mg more panitumumab than intended for their first dose. The error was detected and the remaining two doses were administered according to the treatment plan. The patient was admitted to hospital with symptoms of a pulmonary embolism a week after the third dose and died a few days later. Panitumumab is known to cause pulmonary emboli, but it is not known if the initial dose of medication influenced the outcome. The error represents a critical failure in the safety structure for managing orders for oncology medications. Information about the incident is shared as an alert about the potential vulnerabilities of electronic prescribing systems. Possible contributing factors, and recommendations for enhancing the effectiveness of electronic systems, are described."
0,"A consumer prevented serious harm to herself and her spouse by questioning unusual side effects to her medications. She had requested two refill prescriptions from a pharmacy. The first refill was for warfarin and the second refill was for trazodone. A few days after picking up the prescriptions, the consumer was feeling unusually tired and drowsy and her spouse was not sleeping as well as usual. The consumer called the pharmacy to ask if the prescriptions had been filled with different brands of warfarin and trazodone, or if the wrong medications had been dispensed. The pharmacy investigated and determined that the labels on the two containers had been switched. Recommendations to consumers are also described."
1,"This Patient Safety Advisory discusses medication patient safety incidents where breakdowns in the storage of medications have contributed to drug product mix-ups. The errors resulting most frequently have been wrong drug, wrong dose / overdose, wrong dosage form and wrong strength / concentration. Mix-ups of drugs can occur anywhere in the hospital but have been particularly noted in the following areas: ward stock of patient care units, night cupboard, pharmacy and refrigerators both in pharmacy and patient care areas. Contributing factors as per the storage area are as follows: - ward stock: storage of multiple concentrations of the same drug in close proximity and storage of multiple-dose containers used as floor stock rather than pharmacy providing patient-specific doses, - night cupboard: accessibility and variety of medications available, as well as a potential lack of an independent double check of the original order to the obtained medication, - pharmacy: a large volume of drug products is stored in one area of the facility, purchases from a single manufacturer that uses a consistent brand appearance, layout, and label design for their products, increasing the risk of look-alike products, - refrigerator: limited space or lack of built-in discrete pockets or bins. Depending on the location of the refrigerator, it may be used to store manufacturer-packaged products for floor stock use, as well as patient-specific or patient-labelled products, increasing the risk that a healthcare practitioner may select the wrong drug. "
0,"This Risk Alert addresses several medication patient safety incidents where patients with a known drug allergy are prescribed and/or administered a drug that has been identified as a drug the patient is allergic to. The preponderance of antibiotics, such as penicillin, in these medication patient incidents is identified."
0,"This Patient Safety Advisory discusses medication patient safety incidents involving the use of insulin; most common drug errors resulting are drug omission, wrong drug and wrong dose/overdose, in order of greatest frequency. A number of patient safety incidents are provided to illustrate the types of errors. Sevesimiral contributing factors are presented and include the following: - similarities in the brand and generic drug names - similarity in drug labelling and packaging - wrong drug written by prescriber - wrong drug selected during order entry - wrong drug selected from ward stock or automated dispensing cabinet - confusion between regular insulin and rapid acting insulin - prescribing orders were not clear which insulin was requested - use of the incorrect blood glucose value - confusion in the labelling of insulin by pharmacy - confusion in interpreting or writing sliding scale or insulin coverage orders - use of dangerous abbreviations such as ""U"" for ""units - use of an insulin syringe intended for 100 units/mL of insulin to draw up doses of insulin 500 units/mL"
0,"This Patient Safety Alert warns of a potential packaging problem with Viaspan that could lead to inadvertent intravenous administration. Viaspan is a solution that is used to flush and provide cold storage of organs for transplantation and if the medication is inadvertently given by intravenous access, cardiac arrest is likely. Concerns with the packaging include font size and position on the label, the set port size of the container, and the inter-organization mechanisms through which the solution is distributed."
1,"This Safety Bulletin presents an aggregate, qualitative analysis of 456 patient safety incidents involving cancer chemotherapy agents providing major themes and subthemes as well as key contributing factors. The latter can be used to provide insights into areas for system improvements and implementation of safeguards in dealing with cancer chemotherapy. Previous Safety Bulletin referenced provide some actions to reduce risk."
0,This Risk Alert discusses multiple cases of medication being mistakenly administered intravenously instead of by the prescribed route.
0,This short prevention strategy describes resources that should be readily available to deal with local anesthetic toxicity. The focus is on keeping a lipid emulsion for treatment and processes to ensure effective mitigation of the toxicity.
0,"This article discusses the importance of labelling of medications by the manufacturer and how use of safety guidelines in labelling, such as standardized color coding, can reduce medication patient safety incidents. The focus is on color coding of drugs used in anesthesia."
1,This article summarizes the actions to reduce risk in the use of neuromuscular blocking agents (NMBAs) as published by the Pennsylvania Patient Safety Authority.
0,"The Clinical Alert describes the major risks related to prescribing and administering medications. Considerations include potential side effects, drug interactions, food interactions, allergies, renal and liver function, as well as ongoing monitoring. Three case studies are used to illustrate the importance of managing medications and the applicable side effects. Recommendations for medication management are provided."
0,"This Safety Notice discusses medication patient safety incidents involving midazolam (a high alert drug) where administering the wrong dose has resulted in over-sedation. Contributing factors to these incidents include the following: - Mistaken strength: Midazolam is produced by several manufacturers in two strengths of 1mg/mL and 5mg/mL in a variety of ampoule sizes for both intramuscular and intravenous injection. It is also administered by intranasal, oral, buccal, rectal and subcutaneous routes. - Storage conditions in clinical areas: As Midazolam is stored as an S4D (ward stock item) in small, often overstocked narcotic safes or emergency trolleys, there is increased potential for selection error to occur. - Unclear communication related to use of Midazolam in emergency situations."
1,"This Patient Safety Advisory concerns patient safety incidents that occur in labour and delivery and involve high-alert drugs. The most frequent types of error that occur are, in order of greatest frequency, dose omission, wrong drug, wrong dose, overdose, and wrong rate. Contributing factors include unfamiliarity with safe dosage ranges and signs of toxicity, inadequate patient monitoring, pump programming errors, and confusion between magnesium sulfate, oxytocin, and intravenous (IV) fluids used for hydration. Detailed strategies for risk reduction are provided according to the following themes: standardizing the dosing and administration protocols as well as standardizing the concentrations and dosing units of drug infusions and adopting a policy that all infusions be administered with an infusion pump."
1,"This Patient Safety Advisory discusses serious and fatal patient safety incidents involving the use of a neuromuscular blocking agent, a high alert drug. The most frequent errors are wrong dose, wrong dose / overdose and unauthorized drug / wrong drug. Contributing factors include unsafe storage, similar product packaging and labelling, look-alike drug names, and unlabelled syringes."
0,"This Safety Bulletin reviews multiple patient safety incidents, gathered through an international aggregate analysis, that involved fentanyl transdermal patches. A further Canadian sub-analysis of over 3000 patient safety incidents was conducted; three primary themes and common contributing factors of that sub-analysis are described. Actions to reduce risk from both the international and Canadian analyses are provided."
1,This Safety Bulletin reviews multiple patient safety incidents where Spiriva? (tiotropium bromide) has been taken orally instead of by inhalation. It also describes two patient safety incidents of hydromorphone controlled release capsules given by inhalation instead of Spiriva? due to the similar color and shape of the two drug capsules.
0,"This Patient Safety Topic reviews a significant patient safety incident which resulted from administration of IV phenytoin (Dilantin?) and identifies risk factors that include dosing, patient characteristics, and flushing, diluting solutions. Recommendations to mitigate likelihood of this incident."
0,This Safety Alert concerns patient safety incidents where powder for inhalation was dissolved and administered via mechanical ventilation (wrong route) resulting in death.
0,"The Bulletin describes two incidents where paediatric patients developed hyponatremia associated with the intravenous administration of hypotonic solutions; one in a postsurgical setting and the other in a medical setting. Both incidents resulted in death. Acute hyponatremia is defined as a decline in serum sodium within a 48-hour period to less than 130 mmol/L. This abrupt change can lead to cerebral edema as a result of electrolyte-free water moving into the brain cells. Acute hyponatremia can be fatal for both children and adults; however, children are more vulnerable to the effects of fluid and electrolyte imbalance. The early signs of acute hyponatremia and rising intracranial pressure are often nonspecific and include nausea, vomiting, headache, and decreasing level of consciousness. Information from the 2 voluntary incident reports, including recommendations and considerations, is shared to enhance healthcare practitionersÅf understanding of the potential for fatal hyponatremia in children. Many Canadian pediatric centres have recognized hospital-acquired hyponatremia as an important issue that merits attention and have revised, or are in the process of revising,"
0,"This article discusses the importance of clinical monitoring in prescribing, dispensing, and administration of medication. The necessity of considering renal function, age and other clinical parameters in determining drug dosage is reviewed. Technology support of interfaced computerized physician order entry systems, pharmacy computer systems and laboratory systems faciliate communication of critical information to relevant health care providers."
0,This Risk Alert describes a medication patient safety incident where a high loading dose of a drug was incorrectly administered as an IV bolus rather than an IV infusion resulting in toxic effects.
0,"This Patient Safety Advisory addresses the patient safety incidents that can occur when necessary monitoring of laboratory values is not ordered or performed or when abnormal levels occur and action is not taken by healthcare practitioners. The focus is on the use of levofloxacin, the most common medication involved in a review of patient safety incidents of this nature. Contributing factors to the incidents include the following: - Prescribers may not be aware of the need to assess renal function and adjust doses as necessary. - Clinical laboratory values may not be readily available to practitioners at the time of prescribing, dispensing, and administering. Even in facilities with electronic systems, laboratory computer systems may not interface with computerized prescriber order-entry (CPOE) and pharmacy computer systems. If the systems do interface, CPOE and pharmacy computer systems may not generate alerts to warn practitioners about high doses with respect to serum creatinine levels. - CPOE systems may not have effective computer based clinical decision support to help guide appropriate dose selection for patients with renal insufficiency or advanced age.4,6 - The clinical status of the patient may require administration of a first dose of an antibiotic before an accurate assessment of renal function is available."
1,"This Patient Safety Advisory provides an update to the September 2006 Advisory on errors that occur with epinephrine, a high alert drug. Subsequent reports have been analyzed and discussed; the top four types of errors, in order of frequency of occurrence, were wrong route, wrong drug, wrong dose / overdose. Strategies for improvement, in addition to those included in the September 2006 Advisory, are provided."
0,"This Safety Bulletin presents the results of phase 1 of a collaborative endeavour by the Canadian Association of Paediatric Health Centres, Institute for Safe Medication Practices Canada and the Canadian Patient Safety Institute to enhance the safety of paediatric medication use. Review of over 4000 paediatric incident reports determined the top 5 drugs causing harm through medication error in paediatrics. A qualitative analysis of the top 5 drugs provides a summary of contributing factors for each of the drugs. Phase 2 of this project will focus on identification of system solutions for enhanced opioid safety and will identify practices and medication system safety strategies for inclusion in a resource toolkit for Canadian paediatric opioid safety."
0,"The Advisory refers to incidents that have occurred locally, nationally and internationally where oral liquid medications have been drawn up into a hypodermic syringe and administered intravenously (IV) in error. The presence of medications in a hypodermic syringe might suggest that the medication is intended for parenteral administration. In many of the incidents, there were other errors involved; however oral medications drawn up into a hypodermic syringe was identified as the root cause. Two medication errors: involving the same drug with different patient consequences Oral Phenytoin Liquid Case Studies A patient was prescribed oral phenytoin liquid mixture for control of epileptic seizures. The mixture was drawn up in a hypodermic syringe, checked against the medication chart and taken to the patient bedside. The nurse administering the medications became distracted and inadvertently administered the medication into the patients central line instead of their nasogastric tube. Medical assistance was sought immediately and the patient suffered no clinical harm. In another incident, a woman with a complex medical history including epilepsy was hospitalised for gastrointestinal complications. A jejunostomy was performed to facilitate feeding and administration of oral medications, including oral liquid phenytoin. She was later started on total parenteral nutrition after complications and her oral medications orders were converted to IV. About two weeks later, a nurse who had previously administered oral medications to the patient prepared two IV medications and had these checked. The nurse then obtained the oral phenytoin liquid, measured 5mL into a cup and then drew it into a syringe. She administered the medications to the patient including the oral phenytoin liquid via central venous catheter (CVC). The patient complained of pain at the injection site and commenced dry retching before losing consciousness. Staff commenced resuscitation but the woman could not be revived."
0,"This Patient Safety Advisory discusses medication patient safety incidents that occur during radiologic procedures and involve both radiologic and non-radiologic type drugs. The most common errors resulting were wrong drug, administration of an unauthorized drug, wrong dose and wrong rate. Medication errors in radiology are seven times more likely to harm patients, compared to errors in other settings. Contributing factors to errors occurring in radiologic services include the following: - the complexity of radiologic procedures, - the use of high-alert medications such as intravenous (IV) contrast agents, sedatives, vasopressors, and blood coagulation modifiers, - the risk of communication failures during handoffs, - the very brief amount of time a patient spends undergoing a radiologic procedure, - patient transfer to and from a radiologic care setting presents the opportunity for miscommunication and lack of access to patient information sets the stage for errors to occur. - the care provided to the patient is very much focused on a particular procedure; drugs that were administered pre-examination, or those to be continued post examination, may not be given sufficient attention. - imaging drugs are supposed to be administered by a radiologic staff member under the supervision of a radiologist or other physician. In reality, these medications are sometimes administered without a radiologist ever actually seeing the patient or the patient's medical record. - there is sometimes no written prescription and no written documentation on a patientÅfs medication administration record when these drugs are administered. Because of this, there is very little opportunity for a pharmacistÅfs involvement in reviewing the orders and screening the patient for allergies, drug-drug interactions, or drug-disease state warnings before the medication is administered. Recommendations for risk reduction are provided."
0,This Safety Information discusses patient safety incidents of possible suicidal and aggressive behaviour resulting from use of a smoking cessation drug.
0,This Safety Notice discusses patient safety incidents where patients experienced harm due to receiving two drugs that posed a serious drug interaction. One case is described where the patient was on existing azathioprine treatment when admitted to hospital and allopurinol was added by a consulting medical team. Opportunities to identify the interaction were missed by the consulting and treating medical teams and pharmacists. Contributing factors to the incident included the following: - The consulting medical team did not assess the patientÅfs existing therapy when recommending treatment with allopurinol. - The patientÅfs medicines were not thoroughly reviewed during their admission. - The medical teams were unaware of the interaction and associated risks. - The supervising pharmacist was not notified of the drug interaction alert automatically generated by the pharmacy dispensing software.
